media_tecnico_ano1	faltas_tecnico_ano1	situacao_tecnico_ano1	media_basico_ano1	faltas_basico_ano1	situacao_basico_ano1	media_tecnico_ano2	faltas_tecnico_ano2	situacao_tecnico_ano2	media_basico_ano2	faltas_basico_ano2	situacao_basico_ano2	media_tecnico_ano3	faltas_tecnico_ano3	situacao_tecnico_ano3	media_basico_ano3	faltas_basico_ano3	situacao_basico_ano3	media_tecnico_ano4	faltas_tecnico_ano4	situacao_tecnico_ano4	media_basico_ano4	faltas_basico_ano4	situacao_basico_ano4	permaneceu_area_ti	permaneceu_ano2	permaneceu_ano3	permaneceu_ano4
7.45	10.00	APR	7.88	13.60	APR			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
5.56	2.00	REP	7.91	8.25	APR	7.37	12.00	APR	7.59	12.00	APR	6.64	18.50	APR	3.87	27.00	REP	7.58	11.00	APR			INDETERMINADO		sim	sim	sim
8.45	5.00	APR	8.52	3.75	APR	7.63	12.00	APR	8.34	12.50	APR	9.15	4.75	APR	8.36	6.75	APR	7.80	11.00	APR	8.242857143	9	APR		sim	sim	sim
8.35	11.00	APR	8.11	11.40	APR			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO	1.70	24.33	REP			INDETERMINADO		não	não	não
2.41	6.00	REP	4.53	21.00	REP			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
7.00	2.00	APR	7.32	2.00	APR	7.83	11.00	APR	7.87	14.50	APR	8.37	6.50	APR	7.96	9.25	APR	8.20	10.00	APR	7.885714286	6	APR		sim	sim	sim
1.82	98.00	REP	4.74	19.00	REP			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
6.21	4.00	APR	7.95	4.00	APR	8.47	9.00	APR	8.05	2.50	APR	8.58	5.25	APR	7.95	8.00	APR	8.98	5.00	APR	8.328571429		APR		sim	sim	sim
7.84	2.00	APR	8.33	5.67	APR	8.53	21.00	APR	8.08	11.67	APR	7.73	12.75	APR	7.57	14.75	APR	7.40	12.67	APR	8.1	12	APR		sim	sim	sim
4.13	16.00	REP	6.70	8.25	APR	8.00	17.00	APR	7.59	12.67	APR			INDETERMINADO	7.30		APR			INDETERMINADO			INDETERMINADO		sim	não	não
6.88	3.00	APR	7.98	3.00	APR	7.67	6.00	APR	8.35	3.50	APR	8.42	5.33	APR	7.93	7.50	APR	8.65	8.00	APR	7.814285714	6	APR		sim	sim	sim
8.68	3.00	APR	8.72	4.00	APR	8.80	3.00	APR	8.35	2.00	APR	8.50	3.00	APR	8.43	2.00	APR	8.72	5.00	APR	8.242857143	5	APR		sim	sim	sim
3.01	2.00	REP	4.34	19.80	REP			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
7.66	4.00	APR	8.04	3.00	APR	7.80	3.00	APR	7.90	6.33	APR	8.63	6.50	APR	8.14	7.00	APR	8.63	5.00	APR	8.642857143		APR		sim	sim	sim
6.50	4.00	APR	7.56	5.00	APR	8.03	2.00	APR	7.83	7.00	APR	8.02	6.00	APR	7.81	6.67	APR	8.05	5.50	APR	8.185714286	2	APR		sim	sim	sim
6.08	2.00	APR	7.83	5.00	APR	7.90	6.00	APR	8.20	2.50	APR	8.90	2.00	APR	8.34	3.00	APR	8.55	5.00	APR	8.842857143		APR		sim	sim	sim
8.17	5.00	APR	8.52	5.00	APR	8.27	6.00	APR	7.92	4.00	APR	8.27	4.00	APR	8.08	7.67	APR	8.67	3.00	APR	8.385714286	3	APR		sim	sim	sim
7.96	3.00	APR	8.10	4.00	APR	7.50	89.00	APR	1.20	50.00	REP			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
6.02	10.00	APR	7.86	4.25	APR	7.70	27.00	APR	7.32	15.33	APR	0.90	39.50	REP	0.86	52.33	REP			INDETERMINADO			INDETERMINADO	NÃO	sim	sim	não
7.11	3.00	APR	7.84	3.00	APR	8.07	3.00	APR	7.91	4.00	APR	8.98	4.00	APR	8.18	3.25	APR	8.75	4.50	APR	8.6		APR		sim	sim	sim
7.64	6.00	APR	7.55	3.00	APR	7.93		APR	7.66	2.00	APR	8.02	4.50	APR	7.81	4.00	APR	8.20	11.67	APR	7.857142857	5	APR		sim	sim	sim
8.25	2.00	APR	8.39	1.50	APR	8.13	6.00	APR	8.41	3.50	APR	8.58	6.00	APR	7.83	7.75	APR	8.38	6.00	APR	7.842857143	6	APR		sim	sim	sim
9.22		APR	9.36	3.00	APR	9.50		APR	9.32	3.00	APR	9.37	2.00	APR	9.30	2.33	APR	8.98		APR	9.071428571		APR		sim	sim	sim
5.65	6.00	REP	7.88	5.00	APR	8.03	9.00	APR	7.56	8.67	APR	8.25	5.33	APR	7.98	8.67	APR	8.82	6.33	APR	8.685714286	3	APR		sim	sim	sim
6.03	3.00	APR	7.58	6.00	APR	7.10	9.00	APR	7.81	10.00	APR	8.15	6.00	APR	7.80	5.25	APR	7.87	6.00	APR	7.885714286	2	APR		sim	sim	sim
2.82	2.00	REP	3.84	35.00	REP			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
8.81	4.00	APR	9.29	3.00	APR	8.57	6.00	APR	8.73	7.00	APR	8.97	5.00	APR	8.56	4.25	APR	8.55	4.00	APR	8.5		APR		sim	sim	sim
	16.00	INDETERMINADO		56.40	INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
6.52	2.00	APR	7.80	2.00	APR	7.77		APR	7.55	6.00	APR	8.17	2.00	APR	7.59	4.33	APR	8.15	5.67	APR	8.228571429		APR		sim	sim	sim
7.82		APR	7.79	3.00	APR	8.13	3.00	APR	7.74	3.00	APR	8.15	2.00	APR	7.94	6.00	APR	7.90	7.00	APR	8.414285714	5	APR		sim	sim	sim
8.67	8.00	APR	8.42	2.00	APR	9.23	3.00	APR	8.71	2.50	APR	9.33	4.00	APR	8.98	5.25	APR	8.90	5.33	APR	9.071428571		APR	SIM	sim	sim	sim
5.57	4.00	REP	6.98	3.50	APR	7.83		APR	7.55	3.00	APR	8.63	2.00	APR	8.08	2.50	APR	8.43	7.67	APR	8.185714286	5	APR		sim	sim	sim
6.68	2.00	APR	7.99	3.67	APR	8.40	3.00	APR	8.27	2.50	APR	5.80	14.00	REP	2.10	1.00	REP			INDETERMINADO			INDETERMINADO	SIM	sim	sim	não
		INDETERMINADO			INDETERMINADO	2.79	2.00	REP	5.00	15.00	REP			INDETERMINADO			INDETERMINADO			INDETERMINADO			INDETERMINADO		não	não	não
		INDETERMINADO			INDETERMINADO	9.09	2.00	APR	9.02	1.75	APR	8.46	2.00	APR	8.87	4.00	APR	9.22	6.00	APR	9.114285714		APR		sim	sim	sim
