media_final_artes1_ano1	media_final_ed_fisica1_ano1	media_final_biologia1_ano1	media_final_fisica1_ano1	media_final_quimica1_ano1	media_final_historia1_ano1	media_final_geografia1_ano1	media_final_sociologia1_ano1	media_final_filosofia1_ano1	media_final_lingua_portuguesa1_ano1	media_final_ingles1_ano1	media_final_espanhol1_ano1	media_final_matematica1_ano1	media_final_fund_proces_dados_ano1	media_final_algoritmos_ano1	media_final_microinformatica_ano1	media_final_ingles2_ano2	media_final_ed_fisica2_ano2	media_final_biologia2_ano2	media_final_fisica2_ano2	media_final_quimica2_ano2	media_final_historia2_ano2	media_final_geografia2_ano2	media_final_sociologia2_ano2	media_final_filosofia2_ano2	media_final_lingua_portuguesa2_ano2	media_final_espanhol2_ano2	media_final_matematica2_ano2	media_final_ling_programacao_ano2	media_final_sist_operacionais_ano2	media_final_manut_computadores1_ano2	media_final_ingles3_ano3	media_final_ed_fisica3_ano3	media_final_biologia3_ano3	media_final_fisica3_ano3	media_final_quimica3_ano3	media_final_historia3_ano3	media_final_geografia3_ano3	media_final_sociologia3_ano3	media_final_filosofia3_ano3	media_final_lingua_portuguesa3_ano3	media_final_espanhol3_ano3	media_final_matematica3_ano3	media_final_banco_de_dados_ano3	media_final_software_utilitarios_ano3	media_final_manut_computadores2_ano3	media_final_redes_basicas_ano3	media_final_empreendedorismo_ano3	media_final_gestao_de_qualidade_ano3	media_final_fisica4_ano4	media_final_quimica4_ano4	media_final_lingua_portuguesa4_ano4	media_final_matematica4_ano4	media_final_biologia4_ano4	media_final_fisolofia4_ano4	media_final_sociologia4_ano4	media_final_estatistica_ano4	media_final_higiene_seguranca_trabalho_ano4	media_final_analise_e_projetos_de_sistemas_ano4	media_final_redes_avancadas_ano4	media_final_programacao_web_ano4	media_final_metodologia_cientifica_ano4
8.63	8.5	7.25	7.25	7.38	9.75	7.38	7.11	7.9	7.45	7.23	8.92	7.73	7.93	7	7.41																																														
9	8.18	7.25	7	7.88	8.38	7.45	7.23	8.1	7.45	9.43	8.45	7.05	7.1	2.4	7.18		8	7.7	7.3	8.6	7.9	7	7.2	7.6	7.8	7.2	7.2	7.1	7.3	7.7	1.1	1	1.3	7.5	7	7.8	1.2	7.4	1.5	0.5	8.3	1.8	1.2	9.5	7.5	7.5	7.5	0								6.1	8	7.8	8		8
9.25	8.25	7.13	8.93	8.45	9.38	8.25	8.61	9.1	7.5	8.4	9.38	8.1	8.75	7.5	9.1		10	8.1	7.5	9	8.4	7.5	7.1	9	7.9	9.2	8	7.1	7	8.8	7.8	10	8.3	8.5	8.5	8.4	8.5	7.8	7.9	8.3	8.9	7.4	9	10	9.8	9	8.8	8.3	7.5	7	8.9	8.5	8.3	8.5	9	8.7	7.5	9	7.5	7.1	7
8.63	7.63	7.38	7.25	7.65	9.63	7.25	7.86	8.8	7.68	8.4	9.08	8.15	8.35	8.8	7.89																																									1.6	2.5	2.5	1.1	0.8	0
2.38	7.75	2.13	7	4.1	2.06	4.65	3.24		2.65	7.38	7.3	3.73			2.41																																														
8.25	6.9	7	8.2	7.68	8	7.5	4.84	8	7	6.08	8.23	7.48	7.8	4.1	9.1		10	7.3	6.3	8.2	8	7.8	7.7	8.2	7.7	7.4	8	7	8.4	8.1	8.9	9.1	6.2	7.5	8.5	7.6	8.3	8.5	7.3	7.8	8.3	7.5	7.5	9	9.1	8.4	8	8.2	7	7	8.5	7.8	8.3	8.3	8.3	8.6	8	9	9.3	6.3	8
7.5	2.93	3.19	6.45	7.43	6	7.13	2.77	2.6	1.75	3.01	7.68	3.2	2.07	0.5	2.88																																														
8.88	8.5	6.56	7.25	8.05	8.38	7.5	7.26	7.9	7.38	9.73	8.5	7.4	7.55	2.4	8.68		9.8	8.1	7	8.6	8.3	8	7.6	8.6	7.4	8.2	7	7	8.6	9.8	8.2	9.3	7.3	7.5	7.4	7.9	7.7	7.9	7.4	9.1	8.1	7.6	7.4	9.5	9.8	8.7	8.8	7.3	7.5	8.1	8.4	8.7	8	8.8	8.8	8	8.3	9.5	10	9.1	9
9	8.63	7.75	7.73	8.15	8.75	8.63	8.09	8.9	8	8	9.33	7.35	8.98	7.1	7.45		10	8.3	7	7.5	8.3	8.1	8.2	7.8	7.2	9.4	7.1	8.4	7.9	9.3	7	9.8	7	7.3	7.5	7.4	8.5	7.8	7.1	7.3	7.6	6.5	7.7	7	8.3	8.1	7.5	7.8	7	7.1	8.9	8.6	8	8.3	8.8	6.4	6.6	7.3	8.8	8.3	7
7	7.75	6.13	7.58	6.25	6.63	7.7	7.19	7.2	2.63	6.06	7.68	7.28	3.56	1.51	7.33		9.9	7.9	7	6.2	7	8.4	8.5	7.5	6.3	7.2	7.6	7.6	8.4	8	7.3																														
